일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2016-05-13,48564,47088,48725,49547,49136,49695,47113,57507,59287,59263,58586,60497,60527,59133,54580,53725,55160,63213,61227,63508,63969,63741,57146,56364
2016-05-14,42803,40000,44462,42209,40000,40000,41819,49953,49716,48548,45512,49942,51604,51907,47707,49856,47622,54800,55256,55283,54984,55200,46643,45097
2016-05-15,40198,40000,44891,40000,40000,40000,40939,50143,48618,51130,48974,53139,55003,52708,46407,47726,47987,54764,52665,55332,52398,52239,49202,48153
2016-05-16,50079,49891,50578,45394,50114,47175,49086,60265,59754,57968,52416,64318,63658,62637,56155,53559,55630,62504,63925,63410,63964,60995,53278,55851
2016-05-17,51795,51409,49986,45718,47190,49174,49214,57749,58781,59991,54570,62498,62089,60460,56405,55614,57548,63709,62898,62890,59354,61899,53117,56982
2016-05-18,49227,49619,46338,46864,49849,48989,47175,58369,58115,58327,53585,58610,61376,61820,55159,53931,55938,63140,64764,63881,61540,60783,54285,55769
2016-05-19,48171,49080,50079,48156,48197,47667,48778,59489,59281,57905,56129,60478,60132,61918,54402,57658,54060,61771,61829,63849,61815,61948,56196,57193
2016-05-20,50055,47575,48950,46864,48536,51409,49426,58299,58825,60920,54435,61204,61516,60071,55757,57496,54975,63830,63492,63674,63786,60478,53502,52212
2016-05-21,41753,41201,40250,41874,40431,44173,41254,52765,49853,47776,46548,53263,53430,54502,46920,47998,46563,54266,55187,56009,56725,57610,47338,49059
2016-05-22,41786,40500,42523,40731,40000,41276,40594,50915,50968,49481,47497,52219,54307,51893,50514,48239,47643,52954,52415,57178,55689,54032,46034,47173
2016-05-23,48896,49418,44540,49042,49516,48363,47405,59082,59676,57349,55372,58674,63080,61139,56451,52839,57940,65618,62142,61900,63706,63810,56065,54261
2016-05-24,49827,47967,48469,48785,50001,48721,51136,58330,57393,55309,53068,61590,60700,62509,56151,56487,53320,62427,62680,60879,60485,62236,55241,53685
2016-05-25,47773,50191,50485,49906,51765,52539,49280,60029,57132,58581,54151,62660,64366,59660,55906,56522,54364,63431,62980,65730,61404,65487,54447,52739
2016-05-26,49876,48667,49017,50361,49435,46931,48108,56901,58088,59240,54018,62763,59139,59837,55189,53863,56842,61809,63667,61239,62205,62734,53934,56404
2016-05-27,48818,47722,48619,50854,47848,46936,50178,58732,59143,59935,56869,59336,61943,60075,52869,54840,53134,63455,62627,62954,61499,60819,55799,57638
2016-05-28,41279,40000,40133,40984,42696,40000,40801,52631,47403,49039,45804,50449,51536,52327,46526,47198,44849,54160,54679,54622,53640,53772,47999,46534
2016-05-29,40317,41191,40873,41174,42442,40000,41123,51846,52097,50059,46645,53127,52260,53363,47740,47793,50210,53851,52089,54623,55464,55561,46624,44849
2016-05-30,48188,48558,48079,50474,48281,48150,45175,60776,61477,59128,54159,60382,58231,63936,54570,52485,57964,63869,63752,61885,63876,63465,55431,55602
2016-05-31,47779,48550,52422,48051,49670,49821,49745,56544,59104,58546,53869,62746,61946,58712,55103,53386,54964,62368,61117,61140,63203,63702,55259,54090
2016-06-01,58685,56074,55885,55425,59384,57196,55336,66113,71640,68425,61852,68609,68088,71337,66091,63669,66051,75027,73675,74911,72556,73206,65977,65749
2016-06-02,55421,56532,57108,56769,55109,57856,55915,66497,64964,67108,62703,69281,70785,71143,60993,60770,63974,72578,71518,75403,74566,73288,64835,63006
2016-06-03,54818,57682,58011,58224,57417,56724,57266,66830,67469,65292,64970,69217,71722,69493,61100,61904,61396,71501,74194,74602,73034,74415,63657,63265
2016-06-04,46304,48513,46309,48336,46512,51543,47327,58798,56998,56371,53544,57674,60189,58452,52595,52756,56822,63759,66502,67551,62152,64973,55067,52071
2016-06-05,47870,44890,49477,44943,47490,45603,44507,57703,54560,57127,54055,60209,56820,59184,54753,53756,54531,64738,63198,64922,65034,64947,53164,54803
2016-06-06,54858,55979,58396,55725,56801,58316,58365,64923,69882,66719,63370,69867,70706,72856,63708,63694,64257,75386,75439,73592,75826,73534,63700,65015
2016-06-07,56343,57820,57728,59841,59394,57328,56902,68582,67830,67032,61976,69084,70018,68847,61965,60369,61558,74758,74052,71982,72383,72692,64909,66744
2016-06-08,59001,57677,57529,57464,55293,53935,55216,65152,64847,67682,63175,69590,71764,68714,63444,64302,61427,76262,73228,74572,73874,74754,60264,62388
2016-06-09,56434,54935,57613,55424,57668,59808,56956,65865,67749,65652,65150,70610,71012,69816,65340,62113,64238,72895,72325,75405,72953,72939,59965,61436
2016-06-10,55750,57092,56889,56200,57733,58134,54092,67104,67258,67927,62491,70935,66348,68977,60520,62482,63885,75745,71076,75504,69026,75255,63113,62725
2016-06-11,48219,46631,45932,49008,48582,48610,47934,60178,59687,56770,54609,58972,62019,58493,53286,53197,54376,63335,67318,66480,61649,64418,51388,51249
2016-06-12,50748,45970,47493,47051,45966,46836,47625,59686,56279,56585,52991,59557,58198,60023,52231,55272,53771,66994,65296,63611,63790,61948,54357,51910
2016-06-13,56876,56719,56804,54166,58011,57972,55807,68446,67557,64749,62163,65587,69745,69786,61744,64297,61959,71924,75126,74092,71457,73076,66571,66061
2016-06-14,54970,58023,57242,54688,58226,56140,57419,65450,66173,65798,62780,73076,69309,67776,63078,62949,61330,73328,74003,75549,73112,72936,65057,61814
2016-06-15,59165,56647,56232,54445,58568,55938,56884,65440,69089,66014,65226,70099,68827,68364,62098,61097,61254,72569,74772,73563,73329,74498,65076,61796
2016-06-16,60007,57523,58651,56881,56930,57476,55126,67499,67953,65527,65413,70301,71740,67662,62785,63699,64427,74825,74550,74899,75103,78152,62051,60857
2016-06-17,56654,60217,57567,57020,58947,57073,56137,66372,67155,68040,62675,68282,69263,68397,62591,63231,61573,72216,73920,73561,73530,72452,61916,62553
2016-06-18,50445,45193,45599,48124,50674,48582,47236,58347,55114,56795,54374,60016,59440,61345,52157,52862,50511,63876,64216,64689,64769,66573,55207,53220
2016-06-19,46948,47922,51079,47114,50753,48856,49155,56571,57132,56988,52839,62517,60507,59545,51505,54566,51702,66492,64579,63373,63679,62523,53479,56387
2016-06-20,56692,56722,55460,58833,57355,57257,55660,67043,64032,66967,62097,69809,70385,68637,63030,64466,65416,74522,75407,72852,73684,75176,65427,64252
2016-06-21,56860,57231,57125,57140,55935,56861,54335,67044,66324,67058,60824,70588,69926,72326,62629,61824,63969,72325,74196,74800,74996,76316,63529,63621
2016-06-22,56529,53903,55467,57387,57053,53720,60359,64417,68340,67113,62199,69855,69056,67226,63911,63563,62019,74282,75484,77057,75622,72616,64351,64213
2016-06-23,55986,59528,57139,57107,56856,57265,59859,66781,65694,67907,60546,69174,69164,68450,60866,64640,63741,72357,74712,71879,75099,75231,62467,61896
